censo,departamento,grupo_edad,hombres,mujeres,total_poblacion
2007,Junin,45-49,28741,30089,58830
2007,Junin,5-9,68656,66176,134832
2007,Junin,50-54,23133,24436,47569
2007,Junin,55-59,18343,18811,37154
2007,Junin,60-64,15070,15226,30296
2007,Junin,65-69,12572,12892,25464
2007,Junin,70-74,8992,9378,18370
2007,Junin,75-79,7425,7673,15098
2007,Junin,80-84,3986,4476,8462
2007,Junin,85-89,2251,2859,5110
2007,Junin,90-94,619,833,1452
2007,Junin,95-99,339,573,912
2017,Junin,0-4,56886,55315,112201
2017,Junin,10-14,60775,58963,119738
2017,Junin,15-19,57292,56723,114015
2017,Junin,20-24,52250,55049,107299
2017,Junin,25-29,47149,51379,98528
2017,Junin,30-34,45034,49184,94218
2017,Junin,35-39,41634,45067,86701
2017,Junin,40-44,36060,40074,76134
2017,Junin,45-49,32284,35347,67631
2017,Junin,5-9,59557,57369,116926
2017,Junin,50-54,28820,31957,60777
2017,Junin,55-59,24569,26330,50899
2017,Junin,60-64,19778,21513,41291
2017,Junin,65-69,15543,17050,32593
2017,Junin,70-74,12289,13196,25485
2017,Junin,75-79,9149,10202,19351
2017,Junin,80-84,5576,6663,12239
2017,Junin,85-89,3089,3856,6945
2017,Junin,90-94,928,1390,2318
2017,Junin,95+,270,479,749
2007,La Libertad,0-4,84561,81891,166452
2007,La Libertad,10-14,91076,88301,179377
2007,La Libertad,15-19,81586,81927,163513
2007,La Libertad,20-24,74684,74964,149648
2007,La Libertad,25-29,63914,66183,130097
2007,La Libertad,30-34,57360,60037,117397
2007,La Libertad,35-39,51507,55062,106569
2007,La Libertad,40-44,45743,48530,94273
2007,La Libertad,45-49,38329,41401,79730
2007,La Libertad,5-9,79442,77067,156509
2007,La Libertad,50-54,32127,35007,67134
2007,La Libertad,55-59,25253,27428,52681
2007,La Libertad,60-64,21715,23232,44947
2007,La Libertad,65-69,17536,18336,35872
2007,La Libertad,70-74,13677,14344,28021
2007,La Libertad,75-79,10135,10887,21022
2007,La Libertad,80-84,5671,6563,12234
2007,La Libertad,85-89,3227,4194,7421
2007,La Libertad,90-94,1017,1591,2608
2007,La Libertad,95-99,541,1004,1545
2017,La Libertad,0-4,82853,79387,162240
2017,La Libertad,10-14,82473,80805,163278
2017,La Libertad,15-19,72800,72986,145786
2017,La Libertad,20-24,76702,80272,156974
2017,La Libertad,25-29,67737,72826,140563
2017,La Libertad,30-34,63157,67670,130827
2017,La Libertad,35-39,57963,62839,120802
2017,La Libertad,40-44,53359,58325,111684
2017,La Libertad,45-49,47622,51955,99577
2017,La Libertad,5-9,85976,84007,169983
2017,La Libertad,50-54,41944,45840,87784
2017,La Libertad,55-59,35601,39670,75271
2017,La Libertad,60-64,29158,32493,61651
2017,La Libertad,65-69,22786,25461,48247
2017,La Libertad,70-74,18455,20620,39075
2017,La Libertad,75-79,13495,15150,28645
2017,La Libertad,80-84,9082,10501,19583
2017,La Libertad,85-89,4623,5977,10600
2017,La Libertad,90-94,1663,2476,4139
2017,La Libertad,95+,487,884,1371
2007,Lambayeque,0-4,56001,54025,110026
2007,Lambayeque,10-14,62216,60559,122775
2007,Lambayeque,15-19,56912,57995,114907
2007,Lambayeque,20-24,48073,51321,99394
2007,Lambayeque,25-29,41135,45580,86715
2007,Lambayeque,30-34,37949,43196,81145
2007,Lambayeque,35-39,34495,40482,74977
2007,Lambayeque,40-44,31054,35739,66793
2007,Lambayeque,45-49,26904,30844,57748
2007,Lambayeque,5-9,54553,52941,107494
2007,Lambayeque,50-54,23450,25991,49441
2007,Lambayeque,55-59,17798,19365,37163
2007,Lambayeque,60-64,15174,15512,30686
2007,Lambayeque,65-69,11539,11704,23243
2007,Lambayeque,70-74,9476,9812,19288
2007,Lambayeque,75-79,7159,7108,14267
2007,Lambayeque,80-84,4208,4421,8629
2007,Lambayeque,85-89,2569,2678,5247
2007,Lambayeque,90-94,932,1084,2016
2007,Lambayeque,95-99,347,567,914
2017,Lambayeque,0-4,54512,52629,107141
2017,Lambayeque,10-14,53942,52602,106544
2017,Lambayeque,15-19,51032,50888,101920
2017,Lambayeque,20-24,50229,52924,103153
2017,Lambayeque,25-29,42773,46854,89627
2017,Lambayeque,30-34,39427,43774,83201
2017,Lambayeque,35-39,37864,42579,80443
2017,Lambayeque,40-44,35837,41144,76981
2017,Lambayeque,45-49,32193,37286,69479
