area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
10,AREA # 10,Huanuco,70-74,5291,5378,10669
10,AREA # 10,Huanuco,75-79,4080,3981,8061
10,AREA # 10,Huanuco,80-84,2022,2181,4203
10,AREA # 10,Huanuco,85-89,1058,1253,2311
10,AREA # 10,Huanuco,90-94,323,398,721
10,AREA # 10,Huanuco,95-99,258,472,730
11,AREA # 11,Ica,0-4,35302,33993,69295
11,AREA # 11,Ica,10-14,36751,35166,71917
11,AREA # 11,Ica,15-19,34996,34899,69895
11,AREA # 11,Ica,20-24,33994,33958,67952
11,AREA # 11,Ica,25-29,29844,30224,60068
11,AREA # 11,Ica,30-34,26739,28335,55074
11,AREA # 11,Ica,35-39,23879,25838,49717
11,AREA # 11,Ica,40-44,20882,22525,43407
11,AREA # 11,Ica,45-49,17350,18768,36118
11,AREA # 11,Ica,5-9,32704,30994,63698
11,AREA # 11,Ica,50-54,14988,16180,31168
11,AREA # 11,Ica,55-59,11963,12914,24877
11,AREA # 11,Ica,60-64,9941,10104,20045
11,AREA # 11,Ica,65-69,7891,7907,15798
11,AREA # 11,Ica,70-74,6334,6448,12782
11,AREA # 11,Ica,75-79,4670,4528,9198
11,AREA # 11,Ica,80-84,2876,3058,5934
11,AREA # 11,Ica,85-89,1500,1697,3197
11,AREA # 11,Ica,90-94,559,663,1222
11,AREA # 11,Ica,95-99,223,347,570
12,AREA # 12,Junin,0-4,63878,61236,125114
12,AREA # 12,Junin,10-14,73829,70588,144417
12,AREA # 12,Junin,15-19,65580,63157,128737
12,AREA # 12,Junin,20-24,56452,56150,112602
12,AREA # 12,Junin,25-29,48101,49204,97305
12,AREA # 12,Junin,30-34,40823,43279,84102
12,AREA # 12,Junin,35-39,37682,41703,79385
12,AREA # 12,Junin,40-44,34273,35990,70263
12,AREA # 12,Junin,45-49,28741,30089,58830
12,AREA # 12,Junin,5-9,68656,66176,134832
12,AREA # 12,Junin,50-54,23133,24436,47569
12,AREA # 12,Junin,55-59,18343,18811,37154
12,AREA # 12,Junin,60-64,15070,15226,30296
12,AREA # 12,Junin,65-69,12572,12892,25464
12,AREA # 12,Junin,70-74,8992,9378,18370
12,AREA # 12,Junin,75-79,7425,7673,15098
12,AREA # 12,Junin,80-84,3986,4476,8462
12,AREA # 12,Junin,85-89,2251,2859,5110
12,AREA # 12,Junin,90-94,619,833,1452
12,AREA # 12,Junin,95-99,339,573,912
13,AREA # 13,La Libertad,0-4,84561,81891,166452
13,AREA # 13,La Libertad,10-14,91076,88301,179377
13,AREA # 13,La Libertad,15-19,81586,81927,163513
13,AREA # 13,La Libertad,20-24,74684,74964,149648
13,AREA # 13,La Libertad,25-29,63914,66183,130097
13,AREA # 13,La Libertad,30-34,57360,60037,117397
13,AREA # 13,La Libertad,35-39,51507,55062,106569
13,AREA # 13,La Libertad,40-44,45743,48530,94273
13,AREA # 13,La Libertad,45-49,38329,41401,79730
13,AREA # 13,La Libertad,5-9,79442,77067,156509
13,AREA # 13,La Libertad,50-54,32127,35007,67134
13,AREA # 13,La Libertad,55-59,25253,27428,52681
13,AREA # 13,La Libertad,60-64,21715,23232,44947
13,AREA # 13,La Libertad,65-69,17536,18336,35872
13,AREA # 13,La Libertad,70-74,13677,14344,28021
13,AREA # 13,La Libertad,75-79,10135,10887,21022
13,AREA # 13,La Libertad,80-84,5671,6563,12234
13,AREA # 13,La Libertad,85-89,3227,4194,7421
13,AREA # 13,La Libertad,90-94,1017,1591,2608
13,AREA # 13,La Libertad,95-99,541,1004,1545
14,AREA # 14,Lambayeque,0-4,56001,54025,110026
14,AREA # 14,Lambayeque,10-14,62216,60559,122775
